National Institute of Technology Andhra Pradesh,Mechanical Engineering,Home State,OPEN,Female-only,76915,86861
National Institute of Technology Andhra Pradesh,Mechanical Engineering,Home State,EWS,Gender-Neutral,54047,54838
National Institute of Technology Andhra Pradesh,Mechanical Engineering,Home State,EWS,Female-only,97101,97101
National Institute of Technology Andhra Pradesh,Mechanical Engineering,Home State,OBC-NCL,Gender-Neutral,61356,61356
National Institute of Technology Andhra Pradesh,Mechanical Engineering,All India,OPEN,Gender-Neutral,53807,57486
National Institute of Technology Andhra Pradesh,Mechanical Engineering,All India,OPEN,Female-only,89085,108499
National Institute of Technology Andhra Pradesh,Mechanical Engineering,All India,EWS,Gender-Neutral,67007,69534
National Institute of Technology Andhra Pradesh,Mechanical Engineering,All India,EWS,Female-only,124836,124836
National Institute of Technology Andhra Pradesh,Mechanical Engineering,All India,OBC-NCL,Gender-Neutral,61084,63517
National Institute of Technology Andhra Pradesh,Mechanical Engineering,All India,OBC-NCL,Female-only,131468,131468
National Institute of Technology Andhra Pradesh,Metallurgical and Materials Engineering,Home State,OPEN,Gender-Neutral,84541,84541
National Institute of Technology Andhra Pradesh,Metallurgical and Materials Engineering,Home State,EWS,Female-only,157317,157317
National Institute of Technology Andhra Pradesh,Metallurgical and Materials Engineering,Home State,OBC-NCL,Gender-Neutral,91219,102186
National Institute of Technology Andhra Pradesh,Metallurgical and Materials Engineering,All India,OPEN,Gender-Neutral,75098,78606
National Institute of Technology Andhra Pradesh,Metallurgical and Materials Engineering,All India,EWS,Gender-Neutral,87069,87069
National Institute of Technology Andhra Pradesh,Metallurgical and Materials Engineering,All India,OBC-NCL,Gender-Neutral,84284,87677
National Institute of Technology Andhra Pradesh,Metallurgical and Materials Engineering,All India,OBC-NCL,Female-only,143194,143194
National Institute of Technology Arunachal Pradesh,Biosciences and Bioengineering,All India,OBC-NCL,Gender-Neutral,119919,119919
National Institute of Technology Arunachal Pradesh,Biosciences and Bioengineering,All India,SC,Gender-Neutral,233850,233850
National Institute of Technology Arunachal Pradesh,Biosciences and Bioengineering,All India,ST,Gender-Neutral,460553,483091
National Institute of Technology Arunachal Pradesh,Biosciences and Bioengineering,All India,ST,Female-only,741779,741779
National Institute of Technology Arunachal Pradesh,Biosciences and Bioengineering,Home State,OPEN,Gender-Neutral,100308,109600
National Institute of Technology Arunachal Pradesh,Biosciences and Bioengineering,Home State,OPEN,Female-only,189657,189899
National Institute of Technology Arunachal Pradesh,Biosciences and Bioengineering,Home State,EWS,Gender-Neutral,113486,113486
National Institute of Technology Arunachal Pradesh,Biosciences and Bioengineering,Home State,OBC-NCL,Gender-Neutral,120439,124447
National Institute of Technology Arunachal Pradesh,Biosciences and Bioengineering,Home State,OBC-NCL,Female-only,190710,190710
National Institute of Technology Arunachal Pradesh,Biosciences and Bioengineering,Home State,SC,Gender-Neutral,251932,251932
National Institute of Technology Arunachal Pradesh,Biosciences and Bioengineering,Home State,ST,Gender-Neutral,483828,483828
National Institute of Technology Arunachal Pradesh,Civil Engineering,Home State,OPEN,Gender-Neutral,96036,103182
