College,Branch,Quota,Category,Gender,Opening Rank,Closing Rank
Dr. BR Ambedkar National Institute of Technology Jalandhar,Data Science and Engineering,Home State,OPEN,Female-only,18504,18504
Dr. BR Ambedkar National Institute of Technology Jalandhar,Data Science and Engineering,Home State,PWD OPEN,Female-only,1808,1808
Dr. BR Ambedkar National Institute of Technology Jalandhar,Data Science and Engineering,Home State,EWS,Gender-Neutral,3024,3300
Dr. BR Ambedkar National Institute of Technology Jalandhar,Data Science and Engineering,Home State,EWS,Female-only,4736,4736
Dr. BR Ambedkar National Institute of Technology Jalandhar,Data Science and Engineering,Home State,OBC-NCL,Gender-Neutral,8634,16759
Dr. BR Ambedkar National Institute of Technology Jalandhar,Data Science and Engineering,Home State,OBC-NCL,Female-only,23221,23221
Dr. BR Ambedkar National Institute of Technology Jalandhar,Data Science and Engineering,Home State,SC,Gender-Neutral,4733,5878
Dr. BR Ambedkar National Institute of Technology Jalandhar,Data Science and Engineering,Home State,SC,Female-only,6475,6475
Dr. BR Ambedkar National Institute of Technology Jalandhar,Data Science and Engineering,Home State,ST,Gender-Neutral,5260,5260
Dr. BR Ambedkar National Institute of Technology Jalandhar,Data Science and Engineering,Home State,ST,Female-only,13468,13468
Dr. BR Ambedkar National Institute of Technology Jalandhar,Data Science and Engineering,Other State,OPEN,Gender-Neutral,12086,13847
Dr. BR Ambedkar National Institute of Technology Jalandhar,Data Science and Engineering,Other State,OPEN,Female-only,18693,19393
Dr. BR Ambedkar National Institute of Technology Jalandhar,Data Science and Engineering,Other State,PWD OPEN,Gender-Neutral,411,411
Dr. BR Ambedkar National Institute of Technology Jalandhar,Data Science and Engineering,Other State,EWS,Gender-Neutral,1811,1823
